Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm)
2014-08-26 18:16:03,Running,16.06,1:21:39,5:05,11.8,89,
2014-08-21 18:49:00,Running,9.55,53:54,5:39,10.63,51,
2014-08-18 18:37:00,Running,12.82,1:05:44,5:08,11.7,70,
2014-08-12 18:50:00,Running,9.55,53:54,5:39,10.63,51,
2014-08-08 08:00:16,Running,9.82,50:20,5:08,11.7,62,
2014-07-25 18:35:00,Running,13.17,1:05:08,4:57,12.13,83,
2014-07-22 18:08:00,Running,12.75,59:41,4:41,12.81,71,
2014-07-17 18:30:00,Running,9.55,53:54,5:39,10.63,51,
2014-07-10 18:45:00,Running,12.75,1:00:41,4:46,12.6,71,
2014-07-02 18:31:00,Running,12.75,1:02:41,4:55,12.2,71,
2014-06-24 18:12:00,Running,16.21,1:21:46,5:03,11.89,85,
2014-06-18 18:29:00,Running,16.21,1:21:46,5:03,11.89,85,
2014-06-11 18:08:00,Running,12.75,1:02:41,4:55,12.2,71,
2014-06-04 18:07:39,Running,16.17,1:20:57,5:00,11.98,93,
2014-05-26 18:30:00,Running,9.55,53:54,5:39,10.63,51,
2014-05-21 18:45:00,Running,12.75,1:01:41,4:50,12.4,71,
2014-05-19 18:15:00,Running,12.75,1:03:01,4:57,12.14,71,
2014-05-17 07:50:00,Running,6.56,35:23,5:24,11.12,36,
2014-05-14 18:09:11,Running,13.17,1:05:08,4:57,12.13,84,
2014-05-12 18:06:22,Running,12.63,1:01:22,4:51,12.35,69,
2014-05-06 18:32:00,Running,12.85,1:05:41,5:07,11.74,71,
2014-05-02 18:47:02,Running,7.08,37:56,5:21,11.2,127,
2014-04-27 10:00:00,Running,21.73,1:46:38,4:54,12.23,22,
2014-04-21 19:08:29,Running,12.75,59:41,4:41,12.81,71,
2014-04-16 18:22:23,Running,19.08,1:35:03,4:59,12.04,111,
2014-04-14 18:19:40,Running,12.83,1:04:32,5:02,11.92,71,
2014-04-09 18:29:04,Running,16.21,1:21:45,5:03,11.9,85,
2014-04-07 18:28:42,Running,12.57,1:04:09,5:06,11.75,73,
2014-04-02 18:30:00,Running,12.47,1:04:33,5:11,11.59,69,
2014-04-02 18:18:43,Running,6.22,32:00,5:09,11.65,33,
2014-03-24 18:56:12,Running,6.32,36:30,5:47,10.39,36,
2014-03-20 18:49:11,Running,9.55,53:54,5:39,10.63,51,
2014-03-18 18:49:39,Running,9.71,57:20,5:55,10.15,53,
2014-03-13 18:41:49,Running,8.62,51:36,5:59,10.02,48,
2014-03-11 19:14:15,Running,6.35,36:54,5:49,10.33,34,
2014-03-04 18:45:09,Running,9.45,53:34,5:40,10.58,52,
2014-02-28 18:34:12,Running,6.34,36:02,5:41,10.56,32,
2014-02-25 18:23:39,Running,6.33,36:09,5:43,10.51,35,
2014-02-19 18:40:00,Running,6.38,36:10,5:40,10.58,34,
2014-02-15 08:55:15,Running,6.29,34:34,5:30,10.91,35,
2014-02-13 18:08:01,Running,6.38,38:00,5:57,10.08,34,
2014-02-06 06:32:00,Running,6.56,42:23,6:28,9.29,36,
2014-01-07 18:13:04,Running,10.81,1:01:31,5:42,10.54,56,
2014-01-02 09:45:05,Running,3.38,18:10,5:23,11.16,16,
2013-12-31 08:32:35,Running,6.57,36:02,5:29,10.93,36,
2013-12-23 18:59:00,Running,9.5,54:08,5:42,10.53,52,
2013-12-21 07:39:48,Running,6.34,36:02,5:41,10.56,33,
2013-12-19 18:58:42,Running,9.5,53:06,5:35,10.73,52,
2013-12-07 09:15:00,Running,6.3,34:59,5:33,10.8,35,
2013-12-04 18:36:22,Running,12.48,1:10:42,5:40,10.59,69,
2013-11-30 09:06:01,Running,6.33,34:24,5:26,11.03,35,
2013-11-20 18:18:12,Running,11.73,1:06:41,5:41,10.55,63,
2013-11-16 09:00:24,Running,6.15,32:46,5:20,11.26,21,
2013-11-07 19:00:59,Running,9.47,50:07,5:18,11.33,53,
2013-11-02 09:15:18,Running,3.14,18:23,5:51,10.25,18,
2013-10-30 18:42:16,Running,5.81,33:12,5:43,10.49,32,
2013-10-23 18:51:35,Running,6.3,35:41,5:40,10.59,35,
2013-10-18 18:07:56,Running,12.53,1:09:46,5:34,10.77,74,
2013-10-15 18:28:14,Running,8.57,49:35,5:47,10.37,45,
2013-10-12 09:36:00,Running,6.36,34:21,5:24,11.11,35,
2013-10-10 18:08:08,Running,9.34,50:21,5:24,11.12,52,
2013-10-05 07:36:47,Running,6.36,34:21,5:24,11.1,35,
2013-09-30 18:50:38,Running,6.45,32:41,5:04,11.84,34,
2013-09-10 18:13:42,Running,12.72,1:01:54,4:52,12.33,398,
2013-09-02 19:10:44,Running,6.41,32:23,5:03,11.88,34,
2013-08-17 08:09:12,Running,6.45,31:22,4:52,12.32,30,
2013-08-15 18:49:50,Walking,2.48,2:23:46,57:56,1.04,67,
2013-08-14 18:17:00,Running,15.61,1:25:55,5:30,10.9,88,
2013-08-08 18:30:36,Running,12.47,1:06:33,5:20,11.24,61,
2013-08-08 07:56:08,Walking,1.51,15:24,10:11,5.89,6,
2013-08-04 08:27:54,Running,12.49,1:06:24,5:19,11.29,68,
2013-07-30 18:49:22,Running,12.47,1:05:43,5:16,11.39,67,
2013-07-21 07:57:30,Running,11.87,1:00:37,5:07,11.74,64,
2013-07-19 18:40:13,Running,1.72,8:33,4:58,12.07,6,
2013-07-18 07:47:00,Running,6.15,32:36,5:18,11.33,30,
2013-07-07 08:43:13,Running,3.75,21:36,5:46,10.41,56,
2013-07-06 07:15:00,Running,3.75,21:12,5:39,10.61,55,
2013-07-05 08:01:00,Running,3.75,21:10,5:39,10.63,55,
2013-07-03 07:20:00,Running,3.75,21:55,5:51,10.26,55,
2013-07-02 07:43:00,Running,3.75,21:40,5:47,10.38,55,
2013-07-01 07:09:00,Running,3.75,21:10,5:39,10.63,0,
2013-06-26 18:19:00,Running,16.0,1:06:49,4:11,14.37,0,
2013-06-22 08:05:20,Running,6.23,32:25,5:12,11.52,35,
2013-06-15 08:44:27,Running,6.37,29:53,4:41,12.79,36,
2013-06-12 18:21:40,Running,16.59,1:09:29,4:11,14.32,77,
2013-06-08 07:45:08,Running,6.35,33:51,5:20,11.24,36,
2013-06-03 07:04:59,Walking,1.33,11:59,9:03,6.63,5,
2013-06-01 07:24:07,Running,12.57,1:06:30,5:18,11.33,67,
2013-05-28 07:16:32,Running,6.5,24:17,3:44,16.05,30,
2013-05-21 18:45:38,Running,11.63,1:00:35,5:12,11.52,63,
2013-05-11 08:06:42,Running,6.15,31:38,5:08,11.67,32,
2013-05-09 17:24:19,Cycling,15.47,38:08,2:28,24.33,88,
2013-05-09 09:20:00,Running,6.53,40:00,6:08,9.79,0,
2013-05-05 14:26:37,Cycling,20.3,1:06:29,3:17,18.31,97,
2013-05-05 09:13:02,Running,6.41,33:58,5:18,11.33,34,
2013-05-04 08:47:51,Running,3.15,16:35,5:16,11.38,16,
2013-05-02 08:36:30,Running,6.21,32:51,5:18,11.33,36,
2013-05-01 08:14:59,Running,6.22,32:29,5:13,11.48,34,
2013-04-29 18:48:30,Walking,1.37,22:39,16:30,3.64,10,
2013-04-29 13:10:14,Walking,3.83,38:30,10:04,5.96,25,
2013-04-28 17:26:52,Cycling,13.87,48:27,3:30,17.17,133,
2013-04-28 10:56:47,Walking,1.32,13:48,10:30,5.72,5,
2013-04-28 09:02:23,Running,3.12,16:36,5:19,11.28,17,
2013-04-24 18:31:02,Running,6.25,29:29,4:43,12.71,33,
2013-04-18 21:48:44,Walking,1.5,24:41,16:28,3.64,9,
2013-04-17 19:27:15,Running,6.48,32:49,5:04,11.84,37,
2013-04-13 08:51:29,Running,6.34,33:02,5:13,11.51,33,
2013-03-20 18:49:59,Running,7.04,40:12,5:43,10.5,0,
2013-03-13 18:59:51,Running,6.41,37:48,5:54,10.17,35,
2013-03-11 18:27:56,Walking,1.86,16:39,8:56,6.72,16,
2013-02-28 18:46:54,Running,10.3,1:02:36,6:05,9.87,67,
2013-02-26 18:37:02,Running,9.53,54:44,5:45,10.45,52,
2013-02-22 19:23:38,Running,6.32,35:58,5:41,10.55,35,
2013-02-20 18:43:56,Running,9.59,52:35,5:29,10.94,52,
2013-02-15 18:46:00,Running,9.48,50:29,5:20,11.27,51,
2013-02-06 18:58:31,Running,3.07,8:54,2:54,20.72,9,
2013-01-23 18:38:29,Running,8.65,50:13,5:48,10.34,45,
2013-01-19 09:58:50,Running,3.39,15:56,4:42,12.75,15,
2013-01-15 18:40:08,Running,6.72,32:42,4:52,12.34,32,
2013-01-12 08:39:55,Running,3.09,20:07,6:31,9.21,13,
2013-01-02 18:35:11,Running,5.47,31:24,5:45,10.44,28,
2012-12-22 08:29:13,Running,3.05,18:44,6:09,9.76,17,
2012-12-15 09:43:53,Running,3.14,20:08,6:25,9.36,18,
2012-12-08 08:37:38,Running,3.21,18:50,5:53,10.21,18,
2012-12-04 18:52:39,Running,6.63,32:05,4:50,12.39,30,
2012-12-01 08:21:18,Running,3.31,18:07,5:28,10.97,18,
2012-11-28 18:58:02,Running,6.28,37:29,5:58,10.04,35,
2012-11-24 08:57:47,Running,2.65,14:07,5:20,11.27,15,
2012-11-18 09:51:18,Running,3.18,17:13,5:25,11.09,18,
2012-11-10 08:37:49,Running,2.85,16:52,5:55,10.14,16,
2012-11-07 18:54:35,Running,4.79,27:16,5:42,10.53,23,
2012-11-04 18:59:06,Walking,1.22,12:05,9:54,6.07,10,
2012-10-23 18:43:56,Running,5.2,29:26,5:40,10.59,27,
2012-10-20 08:37:33,Running,3.18,19:28,6:07,9.8,18,
2012-10-18 18:39:07,Running,3.7,19:17,5:13,11.51,20,
2012-10-16 20:27:31,Running,1.28,13:17,10:24,5.77,9,
2012-09-22 08:56:08,Running,3.16,16:26,5:13,11.52,18,
2012-09-15 08:05:15,Running,3.11,16:58,5:28,10.98,18,
2012-09-08 08:35:02,Running,3.27,15:55,4:52,12.32,15,
2012-09-04 19:12:17,Running,6.26,32:35,5:12,11.53,34,
2012-09-03 15:25:22,Walking,2.49,26:58,10:51,5.53,14,
2012-09-03 13:20:56,Walking,4.29,39:25,9:12,6.53,112,
2012-09-02 08:41:31,Running,3.14,16:16,5:11,11.56,18,
2012-08-30 07:10:21,Walking,1.43,15:12,10:40,5.63,7,
2012-08-29 18:19:26,Walking,1.34,13:14,9:55,6.05,16,
2012-08-29 08:21:43,Walking,1.48,14:48,10:02,5.98,6,
2012-08-28 19:43:52,Walking,1.46,13:24,9:12,6.52,13,
2012-08-28 07:06:57,Walking,1.57,13:39,8:41,6.91,7,
2012-08-24 12:59:42,Walking,1.48,17:56,12:09,4.94,12,
2012-08-24 10:12:16,Walking,1.49,13:43,9:14,6.49,9,
2012-08-24 08:13:12,Running,3.15,16:00,5:05,11.82,17,
2012-08-22 18:53:54,Running,5.69,31:08,5:29,10.95,32,
