Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm)
2017-10-28 16:07:20,Running,12.87,1:11:13,5:32,10.84,170,148.0
2017-10-19 18:22:10,Running,8.85,50:41,5:44,10.47,144,140.0
2017-10-16 17:09:27,Running,14.9,1:22:16,5:31,10.86,215,146.0
2017-10-10 18:24:47,Running,8.04,43:22,5:24,11.13,126,146.0
2017-10-07 16:29:17,Running,18.67,1:48:11,5:48,10.36,297,143.0
2017-10-01 17:55:38,Running,12.76,1:11:15,5:35,10.74,174,144.0
2017-09-28 18:20:48,Running,12.77,1:07:38,5:18,11.33,171,143.0
2017-09-25 18:39:09,Running,12.75,1:06:43,5:14,11.46,169,148.0
2017-09-22 12:27:14,Cycling,49.18,2:42:32,3:18,18.15,367,
2017-09-19 16:24:08,Running,17.77,1:39:39,5:36,10.7,257,139.0
2017-09-16 17:26:25,Running,18.6,1:43:09,5:33,10.82,313,138.0
2017-09-10 16:57:56,Running,23.64,2:16:31,5:47,10.39,394,142.0
2017-09-07 18:44:44,Running,8.5,44:32,5:14,11.45,88,141.0
2017-09-05 18:34:21,Running,12.77,1:06:15,5:11,11.56,127,152.0
2017-09-03 17:20:20,Running,23.8,2:11:00,5:30,10.9,384,151.0
2017-08-31 18:44:27,Running,12.79,1:06:39,5:13,11.51,169,142.0
2017-08-29 18:36:14,Running,12.7,1:07:42,5:20,11.25,127,147.0
2017-08-19 18:01:57,Running,23.62,2:17:14,5:49,10.33,377,138.0
2017-08-17 18:36:00,Cycling,15.53,40:04,2:35,23.25,164,138.0
2017-08-16 19:00:40,Running,12.79,1:07:40,5:17,11.34,170,148.0
2017-08-14 18:01:38,Running,12.77,1:08:40,5:23,11.16,171,142.0
2017-08-10 18:28:54,Running,8.43,43:48,5:12,11.54,86,147.0
2017-08-08 18:39:14,Running,12.56,59:37,4:45,12.64,121,158.0
2017-08-05 17:14:00,Running,18.6,1:44:22,5:37,10.69,295,142.0
2017-08-01 18:39:42,Running,8.4,42:50,5:06,11.77,83,156.0
2017-07-30 17:24:23,Running,18.58,1:45:15,5:40,10.59,307,145.0
2017-07-23 17:14:16,Running,18.71,1:39:26,5:19,11.29,298,144.0
2017-07-19 18:50:31,Running,12.8,1:08:04,5:19,11.28,170,143.0
2017-07-16 10:34:21,Running,18.54,1:44:22,5:38,10.66,295,142.0
2017-07-10 18:26:02,Running,12.6,1:04:42,5:08,11.68,124,155.0
2017-07-08 16:26:43,Running,23.59,2:13:08,5:39,10.63,390,143.0
2017-07-05 18:53:40,Running,12.78,1:07:52,5:19,11.3,173,140.0
2017-07-02 18:34:53,Running,10.25,58:05,5:40,10.59,130,138.0
2017-07-02 17:15:47,Running,13.39,1:16:21,5:42,10.52,248,136.0
2017-06-28 18:24:55,Running,12.7,1:07:16,5:18,11.33,171,147.0
2017-06-25 15:57:36,Running,21.27,2:04:36,5:51,10.24,340,145.0
2017-06-21 18:42:29,Running,12.72,1:09:23,5:27,11.0,175,139.0
2017-06-17 10:13:45,Running,14.87,1:25:46,5:46,10.41,247,143.0
2017-06-15 18:54:32,Running,12.8,1:06:15,5:10,11.59,128,147.0
2017-06-12 18:25:58,Running,12.67,1:05:58,5:12,11.53,128,148.0
2017-06-04 16:01:52,Running,21.02,2:02:14,5:49,10.32,330,138.0
2017-06-01 19:00:16,Running,8.65,45:28,5:15,11.41,88,143.0
2017-05-30 18:19:20,Running,8.42,42:48,5:05,11.8,85,154.0
2017-05-28 16:42:07,Running,21.11,1:58:50,5:38,10.66,337,143.0
2017-05-24 18:23:30,Running,12.74,1:09:47,5:29,10.95,171,140.0
2017-05-21 12:18:56,Running,22.07,2:06:18,5:43,10.48,354,146.0
2017-05-17 18:18:34,Running,13.82,1:10:59,5:08,11.68,128,
2017-05-15 18:25:55,Running,16.83,1:24:48,5:02,11.91,167,151.0
2017-05-10 18:40:04,Running,8.53,43:24,5:05,11.79,87,146.0
2017-05-03 18:32:01,Running,12.43,1:04:04,5:09,11.64,125,151.0
2017-05-01 17:38:35,Cycling,20.19,54:29,2:42,22.24,204,135.0
2017-04-29 17:05:47,Running,21.18,2:02:14,5:46,10.39,343,142.0
2017-04-25 18:44:32,Running,8.68,44:46,5:09,11.63,86,150.0
2017-04-23 11:50:12,Running,19.27,1:50:24,5:44,10.47,305,149.0
2017-04-17 16:20:08,Running,15.0,1:21:03,5:24,11.1,222,147.0
2017-04-13 19:04:16,Running,8.58,46:21,5:24,11.1,88,145.0
2017-04-10 18:46:56,Running,12.72,1:07:05,5:16,11.38,122,146.0
2017-04-06 19:07:46,Running,8.65,42:24,4:54,12.25,87,156.0
2017-04-04 18:31:11,Running,8.61,45:58,5:20,11.24,89,143.0
2017-04-01 16:56:53,Running,13.53,1:14:46,5:32,10.86,196,146.0
2017-03-30 19:06:29,Running,8.48,46:53,5:32,10.85,90,143.0
2017-03-28 19:13:23,Running,8.65,45:24,5:15,11.43,88,152.0
2017-03-26 17:10:40,Running,14.62,1:21:54,5:36,10.71,149,
2017-03-20 18:44:13,Running,14.42,1:18:40,5:27,11.0,99,148.0
2017-03-16 18:21:05,Running,6.8,36:18,5:20,11.24,67,151.0
2017-03-13 18:34:11,Running,12.06,1:07:14,5:34,10.77,113,143.0
2017-03-09 18:20:43,Running,9.52,54:28,5:43,10.49,81,139.0
2017-02-27 18:57:30,Running,11.02,59:26,5:24,11.12,102,150.0
2017-02-23 18:39:15,Running,8.8,50:57,5:47,10.37,85,139.0
2017-02-21 19:16:07,Running,7.4,41:20,5:35,10.75,82,140.0
2017-02-13 18:42:55,Running,9.78,56:19,5:45,10.42,78,146.0
2017-02-06 18:45:01,Running,9.79,58:23,5:58,10.07,76,145.0
2017-01-30 18:43:33,Running,6.98,37:28,5:22,11.18,66,143.0
2017-01-26 18:47:36,Running,8.3,44:30,5:22,11.19,74,144.0
2017-01-23 18:39:10,Running,11.98,1:07:49,5:40,10.6,100,150.0
2017-01-19 18:10:00,Running,7.43,41:36,5:36,10.72,51,132.0
2017-01-16 18:04:30,Running,12.15,1:08:32,5:38,10.64,99,143.0
2017-01-12 18:19:37,Running,12.0,1:08:08,5:41,10.57,100,148.0
2017-01-05 18:15:10,Running,7.02,39:42,5:39,10.61,68,143.0
2017-01-03 18:26:07,Running,10.05,57:27,5:43,10.49,93,143.0
2016-12-29 19:08:37,Running,7.0,39:48,5:41,10.55,67,113.0
2016-12-26 18:37:08,Running,6.92,39:42,5:44,10.45,67,139.0
2016-12-22 18:43:38,Running,6.9,38:28,5:35,10.76,64,137.0
2016-12-15 18:53:07,Running,6.85,37:44,5:30,10.9,67,140.0
2016-12-06 18:36:37,Running,6.99,41:34,5:57,10.08,49,139.0
2016-12-01 18:39:39,Running,6.96,39:33,5:41,10.56,66,126.0
2016-11-28 18:46:07,Running,10.13,57:41,5:42,10.54,95,144.0
2016-11-24 18:50:24,Running,6.73,36:01,5:21,11.21,65,163.0
2016-11-21 18:57:32,Running,10.05,56:45,5:39,10.63,96,146.0
2016-11-17 18:52:21,Running,6.95,40:32,5:50,10.28,67,161.0
2016-11-15 18:27:55,Running,6.94,40:44,5:52,10.22,66,134.0
2016-11-10 18:31:03,Running,6.83,40:03,5:52,10.22,67,134.0
2016-11-03 18:17:35,Running,6.77,37:58,5:37,10.7,64,142.0
2016-10-31 19:34:32,Running,10.15,56:36,5:35,10.76,109,132.0
2016-10-27 19:17:55,Running,6.84,34:57,5:06,11.75,75,146.0
2016-10-24 18:38:31,Running,10.15,58:25,5:45,10.42,92,139.0
2016-10-20 18:57:48,Running,10.19,56:25,5:32,10.83,89,148.0
2016-10-17 18:39:56,Running,10.02,55:56,5:35,10.75,92,136.0
2016-10-15 17:14:34,Running,13.49,1:14:11,5:30,10.91,182,143.0
2016-10-12 17:50:31,Running,9.77,52:12,5:21,11.22,57,
2016-10-03 11:47:16,Cycling,23.62,1:12:42,3:05,19.5,301,126.0
2016-10-02 16:36:05,Running,13.43,1:12:20,5:23,11.14,184,141.0
2016-09-27 18:11:27,Running,6.88,32:47,4:46,12.59,49,
2016-09-24 16:39:37,Running,19.41,1:46:24,5:29,10.95,320,140.0
2016-09-22 18:52:22,Running,6.96,37:14,5:21,11.22,63,135.0
2016-09-20 18:42:40,Running,10.03,53:21,5:19,11.28,89,139.0
2016-09-15 18:38:53,Running,10.0,47:55,4:47,12.52,91,150.0
2016-09-12 18:23:04,Running,13.08,1:10:33,5:24,11.12,116,141.0
2016-09-10 17:13:51,Cycling,13.11,32:47,2:30,23.99,163,136.0
2016-09-08 18:19:56,Running,13.12,1:04:40,4:56,12.17,110,154.0
2016-09-04 17:08:28,Cycling,13.64,40:43,2:59,20.09,184,134.0
2016-09-03 17:28:11,Running,13.5,1:17:44,5:46,10.42,184,138.0
2016-08-31 18:33:50,Running,13.06,1:04:09,4:55,12.22,107,152.0
2016-08-28 18:00:16,Running,12.05,1:07:14,5:35,10.76,172,143.0
2016-08-27 17:08:38,Cycling,24.67,1:08:53,2:48,21.49,307,134.0
2016-08-24 17:26:00,Running,13.25,1:11:57,5:26,11.05,181,141.0
2016-08-22 18:14:48,Running,10.06,51:20,5:06,11.76,58,
2016-08-20 15:43:49,Cycling,31.48,1:29:50,2:51,21.03,553,138.0
2016-08-19 16:57:41,Running,13.43,1:14:24,5:32,10.83,185,150.0
2016-08-17 17:17:09,Cycling,21.82,1:22:34,3:47,15.86,316,122.0
2016-08-14 12:32:07,Running,21.16,2:04:44,5:54,10.18,351,149.0
2016-08-01 17:40:40,Running,14.32,1:20:36,5:38,10.66,213,151.0
2016-07-24 17:13:38,Running,20.81,2:03:35,5:56,10.11,367,144.0
2016-07-18 18:28:47,Running,10.01,50:49,5:05,11.82,92,151.0
2016-07-16 17:27:12,Running,22.06,2:08:28,5:49,10.3,354,143.0
2016-07-12 18:20:28,Running,9.71,50:45,5:14,11.47,52,
2016-07-10 16:35:25,Running,19.27,1:49:48,5:42,10.53,319,142.0
2016-07-04 18:24:46,Running,16.46,1:28:53,5:24,11.11,146,144.0
2016-07-02 17:52:07,Running,13.55,1:18:01,5:46,10.42,189,137.0
2016-06-27 18:40:44,Running,13.28,1:12:43,5:29,10.96,180,146.0
2016-06-25 17:02:44,Running,13.22,1:16:38,5:48,10.35,226,142.0
2016-06-23 18:29:58,Running,10.02,51:35,5:09,11.65,60,
2016-06-19 17:04:31,Running,18.59,1:49:24,5:53,10.19,295,142.0
2016-06-14 18:40:51,Running,13.21,1:08:35,5:11,11.56,119,155.0
2016-06-12 12:07:08,Running,19.89,1:45:59,5:20,11.26,202,
2016-06-05 17:10:29,Running,15.52,1:30:35,5:50,10.28,254,142.0
2016-06-02 18:43:44,Running,13.24,1:09:06,5:13,11.5,117,145.0
2016-05-30 18:51:32,Running,10.03,52:02,5:11,11.57,91,145.0
2016-05-26 18:30:37,Running,12.88,1:08:16,5:18,11.32,145,149.0
2016-05-23 18:26:58,Running,10.02,51:25,5:08,11.68,64,
2016-05-22 15:31:06,Cycling,39.62,1:48:59,2:45,21.81,319,
2016-05-19 18:54:07,Running,10.14,55:00,5:26,11.06,99,145.0
2016-05-09 16:46:49,Running,13.5,1:15:04,5:34,10.79,181,147.0
2016-04-24 17:16:01,Running,12.85,1:16:56,5:59,10.02,185,142.0
2016-04-17 16:20:56,Running,13.47,1:17:55,5:47,10.37,180,140.0
2016-04-11 18:25:11,Running,8.88,47:00,5:17,11.34,83,143.0
2016-04-07 18:50:38,Running,10.0,51:15,5:07,11.71,92,145.0
2016-04-03 16:27:37,Running,10.3,58:59,5:44,10.47,143,142.0
2016-03-28 16:12:15,Running,15.62,1:32:26,5:55,10.14,258,145.0
2016-03-21 18:51:35,Running,9.1,51:25,5:39,10.62,85,142.0
2016-03-13 13:02:38,Running,7.19,43:26,6:03,9.93,111,136.0
2016-03-07 13:23:44,Running,13.69,1:20:39,5:54,10.18,141,
2016-02-28 13:37:46,Running,13.48,1:19:28,5:54,10.18,183,144.0
2016-02-21 15:48:48,Running,13.69,1:22:23,6:01,9.97,144,
2016-02-18 19:09:01,Running,6.92,39:25,5:42,10.54,67,141.0
2016-02-15 18:37:04,Running,10.02,1:00:08,6:00,10.0,92,157.0
2016-02-08 18:09:03,Running,6.81,41:18,6:04,9.89,68,165.0
2016-02-04 18:46:32,Running,6.84,40:02,5:51,10.25,67,139.0
2016-01-14 18:40:08,Running,7.0,41:18,5:54,10.17,70,142.0
2015-12-27 13:14:59,Running,13.53,1:16:48,5:41,10.57,185,152.0
2015-12-23 18:45:03,Running,10.12,59:02,5:50,10.29,95,158.0
2015-12-21 18:31:25,Running,10.02,57:55,5:47,10.38,91,138.0
2015-12-06 12:54:29,Running,13.77,1:18:04,5:40,10.58,146,
2015-11-17 18:37:11,Running,10.0,58:32,5:51,10.25,93,140.0
2015-11-09 18:21:31,Running,9.72,55:01,5:40,10.6,89,131.0
2015-11-02 18:23:37,Running,6.6,36:15,5:30,10.92,62,145.0
2015-10-18 15:43:06,Cycling,16.67,1:08:46,4:08,14.54,166,
2015-10-04 10:15:57,Running,38.32,4:28:19,7:00,8.57,646,140.0
2015-09-28 18:21:21,Running,18.94,1:44:26,5:31,10.88,158,138.0
2015-09-24 18:28:14,Running,9.43,51:16,5:26,11.03,77,138.0
2015-09-21 18:13:10,Running,9.65,46:56,4:52,12.33,83,153.0
2015-09-18 18:39:38,Running,22.15,2:01:30,5:29,10.94,182,149.0
2015-09-16 17:59:37,Running,19.35,1:46:38,5:31,10.89,303,146.0
2015-09-13 17:14:13,Running,23.95,2:23:03,5:58,10.04,390,140.0
2015-09-09 18:37:26,Running,15.88,1:24:05,5:18,11.33,132,145.0
2015-09-07 18:47:06,Running,15.62,1:22:49,5:18,11.32,241,144.0
2015-09-03 18:49:40,Running,9.55,53:21,5:35,10.74,85,127.0
2015-08-24 17:21:48,Running,28.14,2:46:07,5:54,10.17,518,138.0
2015-08-23 17:35:47,Cycling,35.09,1:32:58,2:39,22.64,336,
2015-08-21 18:18:37,Running,12.48,1:08:30,5:29,10.93,102,151.0
2015-08-16 17:35:23,Running,26.01,2:33:13,5:54,10.18,436,136.0
2015-08-15 18:46:21,Cycling,13.72,38:39,2:49,21.3,139,
2015-08-14 17:44:35,Running,19.04,1:52:10,5:54,10.18,301,130.0
2015-08-09 16:29:48,Running,18.58,1:48:49,5:51,10.25,285,138.0
2015-08-03 18:30:49,Running,18.95,1:38:16,5:11,11.57,156,149.0
2015-08-01 18:40:14,Cycling,18.79,56:41,3:01,19.88,195,
2015-07-29 18:14:34,Running,0.76,5:15,6:55,8.67,6,133.0
2015-07-26 08:02:36,Running,22.09,2:16:22,6:10,9.72,372,142.0
2015-07-24 18:49:43,Running,12.69,1:05:15,5:09,11.67,108,146.0
2015-07-21 18:22:38,Running,12.66,1:08:07,5:23,11.15,109,138.0
2015-07-19 17:19:38,Running,23.88,2:27:32,6:11,9.71,391,135.0
2015-07-16 18:32:18,Running,9.57,45:28,4:45,12.63,77,148.0
2015-07-14 18:39:53,Running,12.66,1:04:46,5:07,11.73,108,145.0
2015-07-12 18:14:14,Running,19.04,1:51:58,5:53,10.2,295,133.0
2015-07-10 18:35:16,Running,19.02,1:34:06,4:57,12.13,156,144.0
2015-07-07 18:39:38,Running,9.55,48:59,5:08,11.7,88,143.0
2015-07-05 17:53:06,Running,19.7,1:52:23,5:42,10.52,303,142.0
2015-07-01 18:16:02,Running,18.83,1:34:34,5:01,11.95,154,142.0
2015-06-28 17:39:02,Running,19.81,1:55:57,5:51,10.25,313,133.0
2015-06-24 18:27:23,Running,11.14,1:03:45,5:43,10.49,162,133.0
2015-06-22 18:19:53,Running,18.84,1:41:17,5:22,11.16,156,141.0
2015-06-21 17:53:46,Cycling,34.49,1:35:39,2:46,21.63,318,
2015-06-17 18:39:44,Running,12.61,1:07:45,5:22,11.17,109,137.0
2015-06-15 18:27:00,Running,12.64,1:02:17,4:56,12.18,107,158.0
2015-06-14 17:03:23,Cycling,28.49,1:20:47,2:50,21.16,294,
2015-06-12 18:27:52,Running,12.63,1:02:18,4:56,12.16,107,154.0
2015-06-10 18:14:03,Running,14.35,1:21:05,5:39,10.62,226,136.0
2015-06-08 18:18:18,Running,9.6,44:45,4:40,12.88,85,161.0
2015-06-07 16:51:14,Running,13.01,1:13:07,5:37,10.68,193,147.0
2015-06-06 18:30:39,Cycling,18.96,1:19:02,4:10,14.39,123,
2015-06-04 18:15:45,Running,15.97,1:23:18,5:13,11.5,135,141.0
2015-06-01 17:40:42,Running,11.85,1:04:46,5:28,10.98,180,145.0
2015-05-31 04:02:00,Cycling,29.4,2:35:00,5:16,11.38,58,
2015-05-29 18:45:22,Running,9.73,46:22,4:46,12.59,84,150.0
2015-05-27 18:19:22,Running,12.8,1:03:46,4:59,12.05,108,150.0
2015-05-23 19:07:40,Cycling,13.65,43:06,3:09,19.0,144,124.0
2015-05-21 18:45:51,Running,9.54,45:19,4:45,12.64,82,147.0
2015-05-19 18:48:36,Running,12.73,1:02:30,4:55,12.22,109,134.0
2015-05-17 17:33:15,Running,9.64,48:27,5:02,11.94,85,150.0
2015-05-13 18:39:34,Running,12.71,1:09:15,5:27,11.01,108,158.0
2015-05-11 18:39:02,Running,9.61,48:38,5:04,11.86,91,158.0
2015-05-06 18:18:49,Running,12.83,1:07:10,5:14,11.46,107,142.0
2015-05-02 18:48:03,Running,7.39,43:11,5:50,10.27,162,165.0
2015-05-01 18:05:38,Cycling,11.41,42:39,3:44,16.06,132,125.0
2015-04-26 09:03:15,Running,21.12,1:38:42,4:40,12.84,982,170.0
2015-04-23 18:48:37,Running,6.87,37:32,5:28,10.97,81,
2015-04-15 18:38:43,Running,12.68,1:05:47,5:11,11.56,110,141.0
2015-04-13 16:57:26,Running,18.06,1:53:38,6:17,9.54,228,140.0
2015-04-07 18:33:21,Running,15.79,1:22:37,5:14,11.46,135,152.0
2015-04-02 18:50:23,Running,12.83,1:06:28,5:11,11.58,106,146.0
2015-03-30 18:10:03,Running,5.73,30:12,5:17,11.37,50,123.0
2015-03-25 18:40:19,Running,9.73,55:12,5:40,10.58,84,131.0
2015-03-16 18:23:38,Running,16.15,1:26:37,5:22,11.19,133,131.0
2015-03-11 18:21:26,Running,15.91,1:28:23,5:33,10.8,136,140.0
2015-03-06 18:44:58,Running,12.81,1:06:04,5:09,11.63,106,172.0
2015-03-04 19:00:17,Running,10.25,58:27,5:42,10.52,90,125.0
2015-03-02 18:15:36,Running,15.99,1:31:46,5:44,10.46,128,154.0
2015-02-28 09:11:09,Running,3.5,20:19,5:48,10.34,33,116.0
2015-02-25 18:18:41,Running,9.78,54:08,5:32,10.84,87,144.0
2015-02-23 18:14:09,Running,12.84,1:10:50,5:31,10.88,105,141.0
